Crop Type,Field Size (hectares),Planting Date,Soil Type,Fertilizer Used,Irrigation Type,Yield_t_per_ha
Maize,1.15,14-06-2024,Sandy,Urea,Furrow/Canal irrigation,3.741
Sugarcane,1.96,26-10-2024,Laterite,Ammonium Sulphate,Furrow/Canal irrigation,76.953
Rice,1.01,18-07-2025,Silty,MOP,Furrow/Canal irrigation,5.318
Maize,0.4,04-09-2024,Loamy,Urea,Flood Irrigation,3.861
Wheat,1.43,03-10-2024,Silty,DAP,Rainfed,2.911
Rice,6.75,04-07-2024,Chalky,Compost/Organic Manure,Furrow/Canal irrigation,4.003
Cotton,1.07,21-06-2025,Chalky,Ammonium Sulphate,Furrow/Canal irrigation,0.401
Sugarcane,0.15,11-02-2025,Alluvial,Ammonium Sulphate,Drip Irrigation,102.94
Rice,2.92,17-06-2024,Silty,Biofertilizers,Flood Irrigation,3.764
Soybean,4.71,25-06-2024,Loamy,Urea,Sprinkler Irrigation,1.212
Maize,0.35,21-06-2024,Sandy,Biofertilizers,Rainfed,2.669
Onion,4.49,21-11-2024,Laterite,Urea,Furrow/Canal irrigation,22.843
Maize,1.95,28-09-2025,Laterite,DAP,Sprinkler Irrigation,3.314
Rice,0.93,20-06-2025,Alluvial,NPK,Sprinkler Irrigation,4.807
Soybean,1.66,07-06-2025,Sandy,Biofertilizers,Furrow/Canal irrigation,0.955
Rice,1.66,08-06-2025,Clay,NPK,Rainfed,3.466
Rice,2.97,20-06-2024,Loamy,DAP,Rainfed,4.345
Soybean,0.82,03-06-2025,Alluvial,DAP,Flood Irrigation,1.228
Maize,0.7,25-10-2025,Loamy,Biofertilizers,Rainfed,3.112
Groundnut,6.89,20-06-2025,Silty,NPK,Sprinkler Irrigation,1.483
Maize,1.73,18-10-2024,Silty,Urea,Sprinkler Irrigation,4.364
Maize,0.4,01-06-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,3.304
Maize,1.27,13-10-2025,Clay,MOP,Rainfed,2.918
Maize,1.13,13-06-2025,Alluvial,Urea,Furrow/Canal irrigation,4.784
Onion,10.28,21-11-2025,Peaty,Ammonium Sulphate,Rainfed,19.214
Onion,1.79,27-04-2024,Loamy,Ammonium Sulphate,Drip Irrigation,29.303
Sugarcane,2.04,22-11-2024,Loamy,DAP,Rainfed,85.354
Sugarcane,0.18,21-10-2023,Chalky,NPK,Rainfed,64.424
Onion,1.39,14-04-2025,Loamy,NPK,Rainfed,20.637
Cotton,6.75,25-07-2025,Alluvial,Compost/Organic Manure,Drip Irrigation,0.567
Soybean,4.9,24-06-2025,Loamy,Compost/Organic Manure,Rainfed,1.021
Rice,4.18,04-06-2025,Sandy,Ammonium Sulphate,Rainfed,3.959
Sugarcane,0.38,06-01-2025,Chalky,DAP,Sprinkler Irrigation,86.79
Onion,3.26,06-10-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,26.233
Rice,0.75,28-06-2024,Silty,Urea,Drip Irrigation,5.1
Rice,8.03,16-06-2024,Clay,Compost/Organic Manure,Drip Irrigation,4.319
Wheat,1.42,04-10-2025,Loamy,Compost/Organic Manure,Flood Irrigation,3.391
Cotton,1.04,25-07-2025,Loamy,NPK,Flood Irrigation,0.564
Potato,0.77,22-07-2025,Clay,MOP,Furrow/Canal irrigation,23.566
Potato,1.08,24-11-2023,Laterite,Biofertilizers,Drip Irrigation,22.044
Rice,1.53,12-06-2025,Clay,Ammonium Sulphate,Furrow/Canal irrigation,5.301
Cotton,4.11,01-06-2023,Silty,Compost/Organic Manure,Furrow/Canal irrigation,0.485
Groundnut,8,13-06-2024,Laterite,Compost/Organic Manure,Flood Irrigation,1.346
Onion,2.99,24-10-2025,Clay,MOP,Rainfed,18.107
Potato,1.8,05-01-2025,Clay,Urea,Furrow/Canal irrigation,25.152
Onion,4.57,04-11-2024,Clay,NPK,Flood Irrigation,22.08
Rice,0.23,06-06-2024,Alluvial,DAP,Flood Irrigation,4.757
Wheat,1.53,04-12-2025,Silty,Biofertilizers,Rainfed,3.001
Maize,2.07,21-09-2025,Loamy,Biofertilizers,Furrow/Canal irrigation,4.608
Groundnut,2.67,09-05-2025,Sandy,Urea,Drip Irrigation,1.353
Groundnut,2.46,19-05-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,1.478
Cotton,0.99,28-05-2024,Clay,NPK,Furrow/Canal irrigation,0.459
Potato,3.36,04-10-2025,Clay,NPK,Rainfed,18.446
Rice,6.41,22-07-2025,Clay,MOP,Sprinkler Irrigation,4.315
Sugarcane,0.12,17-11-2025,Alluvial,Urea,Furrow/Canal irrigation,96.658
Sugarcane,0.13,16-12-2025,Loamy,Biofertilizers,Drip Irrigation,111.225
Potato,2.78,28-10-2025,Laterite,Compost/Organic Manure,Rainfed,18.946
Rice,0.41,10-07-2025,Alluvial,MOP,Furrow/Canal irrigation,5.131
Onion,2.9,12-11-2024,Laterite,NPK,Rainfed,20.587
Wheat,3.01,13-12-2025,Sandy,DAP,Furrow/Canal irrigation,3.254
Potato,3.84,15-11-2025,Silty,MOP,Rainfed,19.11
Maize,1.44,24-06-2024,Silty,NPK,Furrow/Canal irrigation,4.119
Rice,0.26,22-07-2024,Alluvial,Biofertilizers,Drip Irrigation,4.627
Onion,0.24,17-04-2025,Silty,MOP,Furrow/Canal irrigation,21.327
Soybean,0.96,08-06-2024,Clay,DAP,Rainfed,0.899
Rice,6,25-06-2025,Clay,Compost/Organic Manure,Flood Irrigation,4.077
Soybean,0.25,04-06-2024,Sandy,NPK,Rainfed,0.842
Cotton,0.81,09-07-2025,Chalky,Urea,Rainfed,0.395
Maize,0.26,04-09-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,4.502
Cotton,2.56,13-04-2025,Silty,NPK,Furrow/Canal irrigation,0.522
Maize,0.2,22-06-2025,Alluvial,DAP,Rainfed,3.525
Rice,0.8,02-06-2025,Loamy,DAP,Sprinkler Irrigation,5.071
Cotton,0.63,17-04-2023,Loamy,Biofertilizers,Sprinkler Irrigation,0.571
Onion,5.4,17-04-2024,Alluvial,DAP,Rainfed,21.551
Rice,1.14,20-07-2025,Silty,DAP,Drip Irrigation,5.09
Potato,1.39,10-10-2023,Alluvial,DAP,Sprinkler Irrigation,28.175
Cotton,0.61,03-07-2024,Silty,DAP,Rainfed,0.439
Rice,1.95,22-07-2023,Clay,Ammonium Sulphate,Rainfed,3.663
Rice,0.99,23-06-2025,Clay,MOP,Furrow/Canal irrigation,4.044
Soybean,4.49,26-06-2025,Clay,Urea,Rainfed,0.907
Rice,1.5,03-07-2025,Loamy,Urea,Furrow/Canal irrigation,5.844
Groundnut,2.06,09-05-2025,Sandy,NPK,Furrow/Canal irrigation,1.179
Maize,0.25,06-06-2025,Silty,Compost/Organic Manure,Rainfed,2.946
Potato,2.6,18-11-2025,Loamy,Urea,Drip Irrigation,29.537
Wheat,3.56,22-12-2024,Alluvial,NPK,Rainfed,3.177
Potato,1.57,01-07-2025,Peaty,Compost/Organic Manure,Rainfed,20.671
Rice,0.41,23-07-2023,Laterite,Ammonium Sulphate,Flood Irrigation,3.744
Maize,1.47,17-10-2025,Loamy,Biofertilizers,Rainfed,3.714
Groundnut,0.77,10-05-2024,Clay,DAP,Drip Irrigation,1.517
Rice,0.21,19-06-2025,Sandy,Compost/Organic Manure,Rainfed,2.993
Maize,2.86,22-07-2025,Clay,Compost/Organic Manure,Rainfed,2.8
Cotton,0.75,27-05-2024,Laterite,Compost/Organic Manure,Rainfed,0.37
Groundnut,2.56,20-05-2025,Clay,Urea,Furrow/Canal irrigation,1.276
Groundnut,0.31,27-06-2024,Loamy,DAP,Drip Irrigation,1.794
Maize,0.99,11-06-2024,Alluvial,DAP,Rainfed,3.774
Groundnut,0.85,10-06-2024,Loamy,Urea,Rainfed,1.288
Maize,3.21,15-09-2025,Alluvial,Compost/Organic Manure,Drip Irrigation,4.26
Rice,4.91,04-07-2024,Sandy,Compost/Organic Manure,Sprinkler Irrigation,4.529
Maize,1.05,03-06-2024,Silty,Compost/Organic Manure,Flood Irrigation,3.622
Onion,1.08,09-06-2024,Loamy,NPK,Flood Irrigation,29.228
Maize,2.1,04-07-2025,Alluvial,MOP,Rainfed,3.576
Rice,2.3,04-06-2023,Loamy,Urea,Flood Irrigation,4.567
Groundnut,6.87,16-05-2024,Alluvial,Biofertilizers,Drip Irrigation,1.489
Maize,0.32,11-09-2025,Laterite,Compost/Organic Manure,Flood Irrigation,3.551
Groundnut,3.14,26-05-2024,Sandy,Urea,Rainfed,1.007
Groundnut,0.99,14-06-2023,Alluvial,Compost/Organic Manure,Rainfed,1.289
Wheat,6.38,08-11-2023,Silty,Compost/Organic Manure,Sprinkler Irrigation,2.77
Wheat,1.32,08-12-2025,Silty,NPK,Rainfed,2.974
Groundnut,0.57,07-05-2025,Alluvial,MOP,Rainfed,1.128
Wheat,0.21,07-11-2024,Alluvial,NPK,Rainfed,2.78
Rice,3.02,23-07-2024,Silty,DAP,Flood Irrigation,5.01
Maize,3.9,04-10-2025,Loamy,DAP,Flood Irrigation,3.935
Maize,0.58,02-09-2025,Sandy,Ammonium Sulphate,Flood Irrigation,3.046
Wheat,4.34,14-10-2025,Loamy,Biofertilizers,Flood Irrigation,3.805
Wheat,0.59,18-12-2025,Laterite,Urea,Flood Irrigation,3.113
Potato,0.8,08-02-2025,Silty,DAP,Flood Irrigation,26.58
Potato,0.39,02-10-2025,Silty,Biofertilizers,Rainfed,22.483
Rice,0.86,18-06-2025,Silty,DAP,Rainfed,4.398
Groundnut,2.17,14-05-2023,Silty,DAP,Furrow/Canal irrigation,1.643
Potato,0.54,15-02-2025,Silty,Urea,Rainfed,19.78
Maize,4.52,23-07-2024,Alluvial,DAP,Furrow/Canal irrigation,3.919
Rice,0.22,16-07-2025,Peaty,Compost/Organic Manure,Furrow/Canal irrigation,3.77
Rice,0.34,13-07-2025,Silty,DAP,Drip Irrigation,4.592
Cotton,3.71,17-07-2025,Chalky,NPK,Flood Irrigation,0.441
Wheat,0.13,08-10-2025,Sandy,DAP,Drip Irrigation,2.844
Rice,0.14,28-07-2025,Laterite,MOP,Flood Irrigation,3.567
Potato,0.37,21-02-2024,Silty,NPK,Drip Irrigation,26.896
Sugarcane,1.14,20-01-2025,Loamy,Biofertilizers,Rainfed,66.206
Rice,1.61,06-07-2024,Loamy,Urea,Rainfed,4.351
Potato,1.35,21-02-2024,Loamy,MOP,Rainfed,22.026
Wheat,6.72,07-11-2024,Silty,Compost/Organic Manure,Furrow/Canal irrigation,3.814
Rice,0.85,12-07-2025,Loamy,NPK,Rainfed,4.579
Maize,3.07,24-07-2024,Loamy,DAP,Flood Irrigation,4.059
Potato,7.56,03-06-2025,Loamy,NPK,Rainfed,26.264
Soybean,0.37,24-06-2024,Laterite,Urea,Drip Irrigation,1.081
Maize,0.72,05-06-2025,Loamy,Urea,Sprinkler Irrigation,4.394
Soybean,0.14,26-06-2025,Sandy,Compost/Organic Manure,Flood Irrigation,0.968
Sugarcane,1.56,27-11-2024,Loamy,DAP,Sprinkler Irrigation,101.203
Rice,0.96,01-06-2025,Laterite,Urea,Flood Irrigation,4.416
Cotton,7.41,01-05-2024,Loamy,NPK,Flood Irrigation,0.482
Wheat,3.86,27-12-2025,Alluvial,NPK,Furrow/Canal irrigation,3.791
Wheat,1.32,11-12-2024,Sandy,Biofertilizers,Furrow/Canal irrigation,2.982
Potato,1.12,17-02-2024,Loamy,DAP,Rainfed,22.183
Potato,0.62,12-02-2024,Alluvial,DAP,Rainfed,22.124
Maize,0.67,26-09-2025,Sandy,Biofertilizers,Sprinkler Irrigation,3.898
Sugarcane,1.38,24-01-2025,Laterite,Biofertilizers,Furrow/Canal irrigation,82.569
Rice,0.22,05-07-2025,Sandy,Biofertilizers,Sprinkler Irrigation,4.348
Maize,0.26,23-10-2024,Alluvial,MOP,Rainfed,3.444
Rice,1.01,18-07-2024,Silty,NPK,Furrow/Canal irrigation,4.705
Maize,0.4,23-09-2025,Sandy,NPK,Sprinkler Irrigation,3.508
Potato,2.05,04-06-2025,Sandy,DAP,Furrow/Canal irrigation,22.472
Potato,0.42,27-10-2024,Alluvial,Biofertilizers,Furrow/Canal irrigation,27.567
Wheat,3.43,04-10-2023,Alluvial,Ammonium Sulphate,Flood Irrigation,2.988
Rice,2.34,22-06-2024,Silty,NPK,Rainfed,4.744
Rice,0.7,08-06-2024,Sandy,MOP,Furrow/Canal irrigation,4.255
Rice,0.79,24-06-2024,Silty,Biofertilizers,Rainfed,3.829
Groundnut,1.37,10-05-2025,Sandy,Urea,Rainfed,1.087
Soybean,0.23,13-06-2025,Laterite,Ammonium Sulphate,Furrow/Canal irrigation,1.05
Cotton,0.42,23-06-2025,Loamy,Biofertilizers,Flood Irrigation,0.456
Rice,6.44,24-06-2025,Loamy,MOP,Sprinkler Irrigation,5.132
Rice,1.61,16-07-2025,Loamy,MOP,Furrow/Canal irrigation,4.974
Rice,2.38,09-06-2025,Sandy,Urea,Rainfed,2.89
Potato,0.26,18-10-2024,Sandy,DAP,Drip Irrigation,25.021
Potato,1.33,08-10-2025,Loamy,Biofertilizers,Rainfed,20.693
Cotton,1.68,03-06-2023,Alluvial,Urea,Flood Irrigation,0.484
Wheat,0.46,25-11-2025,Clay,DAP,Sprinkler Irrigation,3.28
Sugarcane,1.28,17-02-2025,Sandy,Compost/Organic Manure,Sprinkler Irrigation,87.195
Soybean,0.65,10-06-2024,Loamy,Ammonium Sulphate,Drip Irrigation,1.29
Soybean,6.57,25-06-2025,Chalky,Biofertilizers,Rainfed,0.804
Onion,0.7,11-10-2024,Loamy,MOP,Furrow/Canal irrigation,26.324
Rice,1.25,05-06-2024,Silty,Biofertilizers,Drip Irrigation,4.729
Rice,2.05,16-06-2025,Sandy,DAP,Furrow/Canal irrigation,4.261
Rice,8.05,03-07-2025,Sandy,Compost/Organic Manure,Rainfed,3.544
Onion,4.87,21-11-2025,Alluvial,Biofertilizers,Furrow/Canal irrigation,24.057
Maize,5.85,14-10-2025,Alluvial,Biofertilizers,Sprinkler Irrigation,4.172
Maize,7.67,17-10-2024,Clay,Compost/Organic Manure,Furrow/Canal irrigation,3.765
Rice,2.93,23-06-2025,Laterite,Urea,Furrow/Canal irrigation,4.306
Wheat,2.63,08-10-2025,Clay,NPK,Drip Irrigation,3.182
Maize,0.67,24-09-2024,Sandy,Biofertilizers,Flood Irrigation,3.47
Maize,0.46,11-10-2024,Alluvial,NPK,Rainfed,3.969
Maize,1.77,16-09-2024,Loamy,DAP,Rainfed,3.638
Onion,0.12,26-11-2023,Clay,NPK,Drip Irrigation,28.27
Potato,0.12,21-02-2024,Loamy,Urea,Flood Irrigation,26.169
Rice,0.62,22-06-2025,Alluvial,DAP,Drip Irrigation,5.327
Potato,2.11,06-07-2024,Loamy,Biofertilizers,Rainfed,20.556
Cotton,3.87,12-07-2025,Alluvial,MOP,Furrow/Canal irrigation,0.478
Cotton,2.71,11-05-2023,Silty,Compost/Organic Manure,Furrow/Canal irrigation,0.489
Potato,0.16,15-01-2024,Alluvial,NPK,Flood Irrigation,23.764
Potato,1.41,15-01-2024,Alluvial,Compost/Organic Manure,Rainfed,20.159
Soybean,0.78,14-06-2023,Chalky,Compost/Organic Manure,Rainfed,0.827
Wheat,1.11,19-12-2025,Alluvial,NPK,Flood Irrigation,3.127
Wheat,2.91,23-10-2025,Clay,Biofertilizers,Flood Irrigation,2.465
Maize,5.11,04-10-2025,Alluvial,NPK,Flood Irrigation,4.088
Cotton,0.98,10-07-2025,Alluvial,Ammonium Sulphate,Rainfed,0.467
Wheat,3.2,03-10-2025,Silty,MOP,Flood Irrigation,3.218
Maize,0.99,22-06-2025,Loamy,NPK,Flood Irrigation,3.653
Maize,2.24,04-10-2024,Loamy,Compost/Organic Manure,Rainfed,3.301
Potato,5.11,01-02-2025,Alluvial,Compost/Organic Manure,Rainfed,20.728
Wheat,0.31,22-11-2024,Loamy,Compost/Organic Manure,Flood Irrigation,2.964
Rice,0.18,11-07-2025,Loamy,MOP,Rainfed,4.261
Cotton,0.17,27-07-2024,Sandy,Biofertilizers,Rainfed,0.354
Onion,0.76,13-10-2025,Alluvial,NPK,Rainfed,22.547
Rice,6.11,27-07-2025,Laterite,Biofertilizers,Furrow/Canal irrigation,3.684
Rice,1.84,01-06-2024,Clay,MOP,Rainfed,4.287
Rice,1.55,24-06-2025,Laterite,Biofertilizers,Rainfed,3.169
Groundnut,0.97,10-05-2024,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,1.621
Potato,4.59,09-06-2025,Sandy,Urea,Drip Irrigation,25.803
Onion,1.39,04-06-2024,Sandy,DAP,Furrow/Canal irrigation,21.066
Rice,1.48,13-06-2025,Sandy,Compost/Organic Manure,Flood Irrigation,3.922
Maize,0.51,13-07-2024,Alluvial,MOP,Rainfed,3.059
Rice,0.91,22-06-2023,Silty,MOP,Drip Irrigation,4.89
Onion,0.25,06-10-2024,Silty,DAP,Sprinkler Irrigation,26.741
Soybean,0.24,07-06-2025,Alluvial,Urea,Sprinkler Irrigation,1.221
Wheat,1.15,05-12-2023,Loamy,NPK,Furrow/Canal irrigation,3.86
Wheat,3.43,14-11-2024,Clay,NPK,Sprinkler Irrigation,3.245
Rice,2.47,19-06-2025,Laterite,MOP,Sprinkler Irrigation,4.703
Wheat,3.05,14-11-2024,Silty,DAP,Flood Irrigation,3.011
Rice,4.27,12-07-2024,Alluvial,Compost/Organic Manure,Rainfed,4.309
Potato,1.65,10-02-2024,Silty,Compost/Organic Manure,Furrow/Canal irrigation,23.192
Cotton,0.18,26-05-2023,Loamy,Compost/Organic Manure,Flood Irrigation,0.44
Rice,0.37,04-07-2024,Sandy,Ammonium Sulphate,Rainfed,3.592
Wheat,0.21,03-12-2025,Clay,MOP,Rainfed,1.936
Rice,7.33,19-06-2025,Alluvial,NPK,Furrow/Canal irrigation,4.936
Wheat,0.82,26-10-2024,Clay,Urea,Flood Irrigation,2.724
Rice,0.62,19-07-2024,Clay,MOP,Flood Irrigation,4.494
Soybean,3.87,05-06-2025,Alluvial,NPK,Furrow/Canal irrigation,1.276
Onion,1.2,03-04-2024,Clay,Compost/Organic Manure,Flood Irrigation,19.25
Wheat,2.59,03-11-2025,Silty,DAP,Rainfed,2.622
Maize,3.49,27-09-2024,Clay,MOP,Drip Irrigation,3.721
Rice,4.74,28-07-2024,Peaty,NPK,Sprinkler Irrigation,4.289
Rice,3.39,23-06-2025,Alluvial,DAP,Furrow/Canal irrigation,5.554
Rice,2.26,23-07-2023,Silty,Compost/Organic Manure,Flood Irrigation,3.835
Rice,0.26,05-06-2025,Loamy,Urea,Rainfed,4.99
Potato,0.47,17-06-2025,Silty,MOP,Rainfed,21.134
Onion,3.13,08-11-2025,Sandy,Compost/Organic Manure,Rainfed,18.161
Maize,0.19,23-06-2025,Sandy,Biofertilizers,Drip Irrigation,3.599
Rice,0.72,07-07-2024,Clay,DAP,Furrow/Canal irrigation,3.965
Groundnut,2.61,23-06-2025,Clay,Urea,Rainfed,1.226
Onion,2.95,15-05-2025,Alluvial,NPK,Furrow/Canal irrigation,26.679
Rice,1.52,28-07-2024,Silty,Urea,Rainfed,3.755
Rice,1.02,06-07-2024,Loamy,NPK,Rainfed,4.873
Maize,1.34,12-06-2025,Clay,Urea,Rainfed,3.359
Cotton,5.18,04-06-2024,Sandy,NPK,Furrow/Canal irrigation,0.498
Rice,4.06,17-07-2024,Silty,NPK,Drip Irrigation,5.584
Rice,0.74,04-06-2025,Sandy,Urea,Flood Irrigation,3.728
Rice,0.95,13-07-2024,Clay,DAP,Furrow/Canal irrigation,4.689
Sugarcane,0.92,12-12-2024,Silty,Ammonium Sulphate,Flood Irrigation,96.446
Rice,1.75,24-07-2025,Loamy,Compost/Organic Manure,Flood Irrigation,5.036
Wheat,5.98,15-11-2024,Loamy,Urea,Rainfed,2.546
Wheat,0.46,06-10-2025,Peaty,Compost/Organic Manure,Rainfed,2.472
Onion,3.19,16-04-2024,Sandy,Compost/Organic Manure,Rainfed,15.906
Onion,0.15,25-04-2025,Loamy,Urea,Flood Irrigation,27.622
Groundnut,3.75,18-06-2024,Loamy,NPK,Flood Irrigation,1.515
Rice,0.64,17-07-2024,Laterite,Compost/Organic Manure,Furrow/Canal irrigation,4.362
Soybean,2.54,05-06-2024,Alluvial,Compost/Organic Manure,Rainfed,0.995
Rice,6.92,12-07-2023,Loamy,Urea,Furrow/Canal irrigation,5.591
Maize,0.21,17-07-2025,Loamy,Biofertilizers,Flood Irrigation,4.359
Wheat,4.07,10-11-2025,Loamy,MOP,Rainfed,3.01
Potato,0.5,19-11-2024,Alluvial,Compost/Organic Manure,Flood Irrigation,24.409
Onion,1.11,15-10-2025,Peaty,NPK,Flood Irrigation,24.441
Cotton,0.38,03-06-2024,Laterite,Urea,Drip Irrigation,0.455
Wheat,4.2,01-11-2023,Clay,Ammonium Sulphate,Drip Irrigation,3.087
Wheat,2.33,22-12-2025,Alluvial,MOP,Furrow/Canal irrigation,3.294
Groundnut,2.06,14-05-2025,Silty,Urea,Sprinkler Irrigation,1.601
Maize,1.8,14-10-2024,Clay,Compost/Organic Manure,Furrow/Canal irrigation,3.59
Onion,0.78,22-11-2024,Alluvial,Compost/Organic Manure,Sprinkler Irrigation,25.054
Groundnut,0.83,10-05-2024,Loamy,DAP,Furrow/Canal irrigation,1.703
Maize,0.91,04-07-2024,Loamy,NPK,Flood Irrigation,3.671
Onion,2.74,15-11-2024,Clay,NPK,Drip Irrigation,24.314
Cotton,3.16,20-05-2023,Alluvial,Compost/Organic Manure,Rainfed,0.436
Maize,0.77,05-10-2023,Clay,Urea,Furrow/Canal irrigation,4.183
Potato,0.91,02-06-2025,Loamy,Biofertilizers,Drip Irrigation,26.123
Soybean,0.22,28-06-2025,Sandy,Compost/Organic Manure,Rainfed,0.823
Groundnut,2.15,18-05-2025,Laterite,NPK,Flood Irrigation,1.271
Sugarcane,2.33,24-11-2024,Alluvial,Urea,Rainfed,77.789
Sugarcane,1.18,20-10-2023,Alluvial,NPK,Flood Irrigation,101.293
Rice,2.88,13-07-2025,Sandy,Urea,Flood Irrigation,3.81
Onion,0.75,09-06-2025,Laterite,Ammonium Sulphate,Furrow/Canal irrigation,21.071
Soybean,1.23,06-06-2024,Loamy,Compost/Organic Manure,Flood Irrigation,1.004
Cotton,7.16,10-06-2024,Silty,Biofertilizers,Rainfed,0.421
Sugarcane,0.34,15-12-2024,Clay,NPK,Drip Irrigation,108.892
Maize,2.54,02-10-2023,Silty,Compost/Organic Manure,Rainfed,3.083
Rice,1.2,24-07-2025,Clay,Urea,Sprinkler Irrigation,4.256
Cotton,0.71,17-07-2024,Sandy,MOP,Flood Irrigation,0.341
Groundnut,0.56,09-05-2024,Laterite,MOP,Furrow/Canal irrigation,1.105
Rice,0.78,20-07-2024,Silty,MOP,Furrow/Canal irrigation,4.631
Groundnut,2.24,19-06-2024,Alluvial,DAP,Rainfed,1.335
Maize,0.26,08-06-2023,Sandy,Urea,Furrow/Canal irrigation,3.541
Maize,0.26,04-06-2025,Alluvial,Urea,Furrow/Canal irrigation,4.107
Groundnut,0.29,20-05-2025,Loamy,Urea,Furrow/Canal irrigation,1.579
Maize,1.93,06-09-2025,Loamy,Ammonium Sulphate,Flood Irrigation,4.34
Onion,0.72,15-05-2024,Peaty,DAP,Furrow/Canal irrigation,25.076
Maize,0.13,21-06-2023,Alluvial,Urea,Drip Irrigation,4.743
Rice,1.98,19-07-2024,Silty,Urea,Sprinkler Irrigation,5.317
Groundnut,0.85,19-05-2024,Laterite,NPK,Flood Irrigation,1.355
Potato,4.12,14-11-2025,Silty,Compost/Organic Manure,Rainfed,17.756
Rice,5.96,08-07-2024,Sandy,NPK,Drip Irrigation,4.602
Potato,1.87,13-07-2025,Chalky,Urea,Furrow/Canal irrigation,22.487
Onion,2.52,28-04-2025,Clay,MOP,Flood Irrigation,19.598
Soybean,0.13,21-06-2025,Sandy,DAP,Flood Irrigation,1.066
Wheat,1.85,27-12-2024,Laterite,Biofertilizers,Rainfed,2.351
Potato,6.42,12-10-2024,Alluvial,Biofertilizers,Rainfed,18.703
Soybean,1.12,05-06-2025,Loamy,Urea,Drip Irrigation,1.249
Cotton,2.33,26-06-2024,Alluvial,Biofertilizers,Drip Irrigation,0.564
Rice,7.65,22-07-2025,Peaty,Urea,Rainfed,3.404
Maize,2.86,23-10-2025,Clay,Urea,Rainfed,3.041
Potato,5.02,14-07-2024,Alluvial,DAP,Drip Irrigation,25.334
Rice,1.24,26-06-2025,Sandy,Compost/Organic Manure,Furrow/Canal irrigation,3.888
Rice,2.67,02-07-2024,Loamy,MOP,Furrow/Canal irrigation,4.978
Onion,2,22-05-2025,Loamy,Urea,Flood Irrigation,24.927
Cotton,2.13,28-06-2025,Loamy,Compost/Organic Manure,Furrow/Canal irrigation,0.556
Groundnut,0.29,17-05-2025,Alluvial,DAP,Rainfed,1.225
Rice,0.54,09-07-2025,Sandy,Biofertilizers,Furrow/Canal irrigation,4.117
Cotton,0.13,04-05-2025,Clay,Compost/Organic Manure,Sprinkler Irrigation,0.497
Onion,0.67,04-11-2025,Sandy,Compost/Organic Manure,Flood Irrigation,18.35
Soybean,0.67,02-06-2025,Loamy,MOP,Rainfed,0.93
Potato,0.23,07-06-2024,Clay,MOP,Rainfed,21.701
Sugarcane,1.97,01-11-2025,Alluvial,Compost/Organic Manure,Flood Irrigation,90.605
Potato,2.33,25-06-2025,Sandy,Compost/Organic Manure,Rainfed,17.878
Potato,3.56,26-01-2025,Sandy,NPK,Furrow/Canal irrigation,23.016
Sugarcane,5.5,19-02-2025,Laterite,DAP,Furrow/Canal irrigation,78.877
Maize,2.02,09-06-2024,Laterite,Biofertilizers,Drip Irrigation,3.768
Wheat,2.82,02-11-2024,Silty,NPK,Rainfed,3.007
Groundnut,0.24,27-06-2024,Loamy,Urea,Rainfed,1.517
Maize,1.03,16-10-2023,Silty,NPK,Flood Irrigation,3.893
Cotton,1.65,03-06-2024,Clay,DAP,Furrow/Canal irrigation,0.505
Wheat,0.73,06-12-2024,Loamy,MOP,Drip Irrigation,3.944
Rice,2.3,19-07-2024,Loamy,NPK,Flood Irrigation,4.881
Onion,3.2,22-10-2025,Alluvial,Compost/Organic Manure,Rainfed,25.329
Rice,0.67,17-06-2024,Clay,NPK,Flood Irrigation,4.08
Wheat,2.54,14-12-2025,Sandy,NPK,Flood Irrigation,2.462
Rice,2.2,21-07-2024,Clay,Biofertilizers,Flood Irrigation,3.345
Rice,5.61,19-06-2023,Sandy,MOP,Furrow/Canal irrigation,3.917
Cotton,0.14,27-07-2025,Silty,MOP,Sprinkler Irrigation,0.449
Groundnut,0.82,19-05-2025,Clay,MOP,Rainfed,1.033
Maize,1.45,20-06-2025,Clay,NPK,Rainfed,3.186
Wheat,5.34,08-11-2025,Laterite,Biofertilizers,Flood Irrigation,2.85
Wheat,1.15,24-11-2025,Alluvial,NPK,Drip Irrigation,3.78
Cotton,2.23,20-07-2025,Loamy,Compost/Organic Manure,Flood Irrigation,0.474
Potato,0.45,25-10-2025,Alluvial,Ammonium Sulphate,Rainfed,20.913
Soybean,0.25,03-06-2024,Clay,NPK,Sprinkler Irrigation,1.163
Maize,4.37,01-07-2025,Loamy,NPK,Furrow/Canal irrigation,4.014
Groundnut,3.47,28-05-2025,Sandy,NPK,Rainfed,1.02
Onion,0.78,13-06-2025,Alluvial,DAP,Flood Irrigation,25.441
Cotton,0.84,19-06-2024,Silty,Urea,Furrow/Canal irrigation,0.512
Rice,1.63,21-07-2025,Clay,Compost/Organic Manure,Flood Irrigation,3.516
Maize,0.98,05-06-2025,Alluvial,MOP,Flood Irrigation,4.109
Soybean,3.21,17-06-2024,Laterite,DAP,Furrow/Canal irrigation,0.993
